condition,level,mae,rmse,r2,signed_bias,std_error,steady_plateau_bias,steady_plateau_mae,onset_error,decay_error,trough_error_p05,subject
stopandgo,lv0,0.0308582261204719,0.0439868830144405,0.9908977600602376,-0.0087396735325455,0.0430742930620908,-0.009086225181818,0.0244689062237739,-0.0285734925419092,0.0121779683977365,-0.0788943693041801,m2_S005
accel_sine,lv0,0.044276587665081,0.0577211827039718,0.9683609693434674,0.0081514557823538,0.0571427047252655,0.0071430383250117,0.0430700071156024,-0.0214261393994092,0.195452868938446,-0.0812648311257362,m2_S006
decline_5deg,lv0,0.0257826019078493,0.0348890386521816,0.9210711853892136,0.0210017133504152,0.0278598815202713,0.0204714760184288,0.0244096554815769,-0.063925601541996,0.1996208131313324,-0.016865350306034,m2_S006
incline_10deg,lv0,0.0244406759738922,0.0357548631727695,0.9258336507553008,0.0139981508255004,0.0329007916152477,0.0137570509687066,0.0229754541069269,-0.0879791155457496,0.1559563428163528,-0.0266980621963739,m2_S006
level_075mps,lv0,0.020792624913156,0.0305325845256447,0.936147003815541,0.0109005756676197,0.0285163288936018,0.0107057020068168,0.0200541513040661,-0.0248017786070704,0.1450839638710022,-0.0271935118362307,m2_S006
level_100mps,lv0,0.0256319399923086,0.0334094613790512,0.9680582826883362,0.0163887292146682,0.0291135963052511,0.0163428597152233,0.0245495233684778,-0.0559275597333908,0.0939824506640434,-0.0285286307334899,m2_S006
level_125mps,lv0,0.0389465428888797,0.0467920340597629,0.9659860974153948,0.0346488766372203,0.0314475707709789,0.0346946641802787,0.037703800946474,-0.0575021058320999,0.1237478256225586,-0.0101723186671733,m2_S006
stopandgo,lv0,0.033925425261259,0.0517929922789335,0.9873986401178264,0.00355211191345,0.0516545455902814,0.0037527793610934,0.0224896948784589,-0.0551131274551153,0.0573482532054185,-0.0795411393046379,m2_S006
accel_sine,lv0,0.0432879067957401,0.0557298362255096,0.970506364977188,-0.0065661594271659,0.0553416684269905,-0.0076838196255266,0.0421675629913806,-0.0095439814031124,0.1662900149822235,-0.087230160832405,m2_S007
decline_5deg,lv0,0.0189078990370035,0.0298367757350206,0.942275336622423,-0.0049025299958884,0.0294312480837106,-0.0057422337122261,0.017159154638648,-0.0809497609734535,0.2125842720270156,-0.0411413162946701,m2_S007
incline_10deg,lv0,0.0225642696022987,0.0366358831524848,0.9221336235770669,-0.0102268429473042,0.0351795330643653,-0.0105437515303492,0.0206827968358993,-0.139776349067688,0.1716639399528503,-0.0518078431487083,m2_S007
level_075mps,lv0,0.019417081028223,0.0265294583514332,0.9512306773314068,-0.012497971765697,0.0232972521334886,-0.0128136523999273,0.018639201298356,-0.0522691626101732,0.1628640592098236,-0.0405671801418066,m2_S007
level_100mps,lv0,0.0215851962566375,0.0290171224623918,0.9759049414080164,-0.0092670079320669,0.027497561648488,-0.0095790047198534,0.0205629859119653,-0.0445689186453819,0.0619317851960659,-0.0511906370520591,m2_S007
level_125mps,lv0,0.023531736806035,0.0325116962194442,0.9835792904721335,0.0137910163030028,0.0294417794793844,0.0147073157131671,0.022018639370799,-0.0830459594726562,0.0219642240554094,-0.0283154249191284,m2_S007
stopandgo,lv0,0.0318222437053918,0.0515046939253807,0.9875361365454752,-0.0082743605598807,0.0508218742907047,-0.0078103393316268,0.0195193849503994,-0.0692563764750957,0.045887041836977,-0.0871186666190624,m2_S007
accel_sine,lv0,0.0304651390761137,0.0389550812542438,0.9855894373924716,-0.0043712332844734,0.0387090519070625,-0.0051557361148297,0.0301231406629085,0.0475593656301498,0.0539998970925807,-0.0664584413170814,m2_S008
decline_5deg,lv0,0.0165170282125473,0.025545684620738,0.9576851600401306,-0.002251916565001,0.0254462342709302,-0.0031061691697686,0.015382558107376,-0.0156402140855789,0.1474361568689346,-0.0354993380606174,m2_S008
incline_10deg,lv0,0.0181683711707592,0.0254964120686054,0.9622866762047412,-0.0004686764732468,0.0254921037703752,-0.0010542878881096,0.01728106290102,0.0050025228410959,0.0793029144406318,-0.0384093709290027,m2_S008
level_075mps,lv0,0.0139492214657366,0.0205614324659109,0.9700023774524036,-0.0016304730670526,0.0204961085692048,-0.0021069315844215,0.013466702774167,0.0230824956670403,0.0876949355006218,-0.0293081384152174,m2_S008
level_100mps,lv0,0.0186657588928937,0.0247166417539119,0.9825177155021312,-0.001327195088379,0.0246809814125299,-0.0017107424791902,0.0182456467300653,-0.0055620349012315,0.0470368601381778,-0.0425933413207531,m2_S008
level_125mps,lv0,0.018361022695899,0.0258233118802309,0.9896405547649468,0.010280986316502,0.0236884951591491,0.009789447300136,0.0176816917955875,0.0076132761314511,0.0613736510276794,-0.0219801664352417,m2_S008
stopandgo,lv0,0.0197805361822247,0.0291125318035483,0.9960054297268368,0.002065269742161,0.029038512147963,0.0006947328802198,0.0157640604302287,0.0049785610754042,0.0086636706255376,-0.0443257261067628,m2_S008
