subject,condition,height_mm,weight_kg,n_samples,speed_mean,speed_std,accel_x_std,accel_y_std,accel_z_std,gyro_x_std,gyro_y_std,gyro_z_std,hip_angle_std,thigh_angle_std,hip_speed_corr,thigh_speed_corr
S007,level_075mps,1710.0,71.0,19118,0.7144374847412109,0.16784246265888214,1.316376805305481,1.2713544368743896,0.6286887526512146,0.29454755783081055,0.1523505002260208,0.22326447069644928,13.870380401611328,13.477377891540527,0.1870800666896686,0.19953874972562588
S007,level_100mps,1710.0,71.0,19939,0.9465933442115784,0.22268222272396088,1.938730001449585,1.438750982284546,0.8101778030395508,0.27209797501564026,0.1534624993801117,0.3052232265472412,14.509464263916016,14.093624114990234,0.21648257366702842,0.26172976360152883
S007,level_125mps,1710.0,71.0,19208,1.1817630529403687,0.27286791801452637,2.7128570079803467,1.9430447816848755,1.1562405824661255,0.3715221881866455,0.17261655628681183,0.36137139797210693,15.721334457397461,15.32123851776123,0.2531147603810278,0.3022015654468661
S007,accel_sine,1710.0,71.0,19782,0.9540982842445374,0.34478428959846497,2.134329080581665,1.735839605331421,0.9717007875442505,0.3245016634464264,0.16262339055538177,0.2835814654827118,14.800347328186035,14.219696044921875,0.21744484964704125,0.22705163280758817
S007,decline_5deg,1710.0,71.0,18945,0.7128191590309143,0.1700146347284317,2.474402904510498,1.7448891401290894,0.7040596008300781,0.29425233602523804,0.15017129480838776,0.36982497572898865,11.119659423828125,10.98571491241455,0.11182442165123561,0.1157368799313447
S007,incline_10deg,1710.0,71.0,19218,0.6951300501823425,0.19938810169696808,2.5312976837158203,1.6603851318359375,1.0975873470306396,0.2618574798107147,0.14782020449638367,0.23038983345031738,20.88703155517578,19.947206497192383,0.24594642415741164,0.30536295745847825
S007,stopandgo,1710.0,71.0,39428,0.47988200187683105,0.4190697968006134,1.2561358213424683,1.082205891609192,0.6139665246009827,0.2232549488544464,0.13679885864257812,0.20247329771518707,12.903731346130371,12.21163272857666,0.46121013601989697,0.5069668555650123
S008,level_075mps,1830.0,76.0,19149,0.7180373668670654,0.15649175643920898,1.0808836221694946,1.312214970588684,0.6964083909988403,0.24000652134418488,0.1857633739709854,0.17465178668498993,12.53637981414795,13.048828125,0.08154512435555072,0.08008557382223704
S008,level_100mps,1830.0,76.0,19127,0.9519585371017456,0.21433602273464203,1.5040658712387085,1.6247059106826782,0.942147970199585,0.30796876549720764,0.16592104732990265,0.22713720798492432,14.375296592712402,14.592324256896973,0.12280860343773056,0.14819665889290468
S008,level_125mps,1830.0,76.0,19301,1.1772584915161133,0.2823224365711212,1.8398996591567993,1.787179708480835,1.2199738025665283,0.37754836678504944,0.17486265301704407,0.2742781639099121,15.638617515563965,15.865456581115723,0.1642303260148936,0.2026118180192637
S008,accel_sine,1830.0,76.0,20210,0.9319382905960083,0.3683241009712219,1.6638507843017578,1.7923089265823364,1.138131856918335,0.38742882013320923,0.18993858993053436,0.2550153434276581,14.673787117004395,14.972037315368652,0.08175241237685338,0.1332725609613141
S008,decline_5deg,1830.0,76.0,18944,0.7164795398712158,0.16233590245246887,1.4201196432113647,1.2054195404052734,0.6955026388168335,0.29094213247299194,0.16192544996738434,0.24385058879852295,11.759617805480957,12.169590950012207,-0.0011401320847791517,-0.007696052290594021
S008,incline_10deg,1830.0,76.0,19149,0.7079008221626282,0.15962064266204834,1.9465339183807373,1.8721414804458618,1.176637887954712,0.36775967478752136,0.2560194730758667,0.24819542467594147,19.430831909179688,18.860244750976562,0.21878394660524886,0.17919194064809718
S008,stopandgo,1830.0,76.0,37595,0.48398706316947937,0.4267657995223999,1.0485215187072754,1.1789371967315674,0.8641951680183411,0.2539508044719696,0.16676221787929535,0.18233977258205414,14.45068359375,13.745272636413574,0.5171669793621112,0.523213391303574
