experiment_dir,test_mae,test_rmse,test_r2,host_latency_ms,host_max_freq_hz,model_size_mb,n_params
archive_season2/archive_3/exp_S2A3_repr_gravity6_Test-m2_S008_seed42,2.3181965351104736,2.912212610244751,,7.2331,138.25,0.8496,222714
archive_season1/archive_4/exp_A4_quat_motor_Test-m2_S008_seed42,2.3200607299804688,2.9565703868865967,,1.7533,570.35,0.8518,223296
archive_season2/archive_5/exp_S2A5_feat_kinpower_compliance_Test-m2_S008_seed42,2.3368892669677734,2.898622512817383,,2.5322,394.91,0.8607,225624
archive_season2/archive_6/exp_S2A6R_ctrl_teacher_kinpower_seed07_Test-m2_S001_seed42,2.3425378799438477,2.9181668758392334,,2.4501,408.15,0.8548,224072
archive_season2/archive_5/exp_S2A5_feat_quat_relkin_Test-m2_S008_seed42,2.344877243041992,3.0041253566741943,,1.7253,579.61,0.8562,224460
archive_season2/archive_1/exp_S2A1_bodyframe_core_Test-m2_S008_seed42,2.3511977195739746,2.9527828693389893,,2.2359,447.24,0.8503,222908
archive_season2/archive_3/exp_S2A3_repr_symyaw6_quat_Test-m2_S008_seed42,2.362760305404663,2.9608538150787354,,4.8492,206.22,0.8525,223490
archive_season2/archive_6/exp_S2A6_tiny_loadgate_quat_w100_Test-m2_S008_seed42,2.3690402507781982,3.0066864490509033,,1.9892,502.7,0.088,23075
archive_season2/archive_4/exp_S2A4_feat_quat_deflection_Test-m2_S008_seed42,2.3691489696502686,2.9523184299468994,,2.3322,428.79,0.8518,223296
archive_season2/archive_8/exp_S2A8F_feat_lag_teacher_Test-m2_S001_seed42,2.3796539306640625,2.899334669113159,,1.9296,518.25,0.8592,225236
archive_season1/archive_3/exp_A3_quaternion_Test-m2_S008_seed42,2.3881497383117676,3.036482095718384,,1.8411,543.15,0.8503,222908
archive_season2/archive_8/exp_S2A8F_feat_short_worksplit_teacher_Test-m2_S001_seed42,2.3909945487976074,2.936234951019287,,2.5211,396.65,0.8607,225624
archive_season2/archive_8/exp_S2A8F_feat_trunk_consistency_teacher_Test-m2_S006_seed42,2.406858444213867,2.984726905822754,,2.0658,484.07,0.8585,225042
archive_season2/archive_5/exp_S2A5_feat_kinpower_relkin_Test-m2_S008_seed42,2.415316104888916,2.998117446899414,,2.5133,397.88,0.8607,225624
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed99_Test-m2_S006_seed42,2.427618980407715,3.043410062789917,,1.7144,583.29,0.0867,22720
archive_season2/archive_8/exp_S2A8F_feat_norm_load_coupling_teacher_Test-m2_S006_seed42,2.4412214756011963,3.0508697032928467,,2.1778,459.18,0.8592,225236
archive_season2/archive_8/exp_S2A8F_feat_norm_worksplit_teacher_Test-m2_S006_seed42,2.4516544342041016,3.0638368129730225,,1.9213,520.49,0.8592,225236
archive_season2/archive_2/exp_S2A2_ctrl_bodyframe_core_Test-m2_S008_seed42,2.459644079208374,3.0811197757720947,,1.8256,547.77,0.8503,222908
archive_season2/archive_8/exp_S2A8F_ctrl_teacher_kinpower_Test-m2_S006_seed42,2.4605860710144043,3.0539913177490234,,2.4919,401.3,0.8548,224072
archive_season2/archive_6/exp_S2A6R_tiny_kinpower_w100_seed07_Test-m2_S001_seed42,2.4637181758880615,3.0753188133239746,,2.1882,456.99,0.0867,22720
archive_season2/archive_1/exp_S2A1_bodyframe_biomech_fusion_Test-m2_S008_seed42,2.4641451835632324,3.135284900665283,,2.3158,431.81,0.8555,224266
