feature,subject,q01,q99,range_width,dominant_freq_hz,periodicity_score,autocorr_similarity,trace_similarity,range_width_z,dominant_freq_z,periodicity_z,autocorr_similarity_z,trace_similarity_z
right_hip_angle,S003,-19.9951,32.5635,52.5586,0.8443129873621941,0.9304163473745942,0.9798284811925715,0.22259033955567537,2.9137309659491533,-0.10495066814880107,4.776406592577926,0.20847172763018154,-1.4417639417577361
left_torque,S003,-0.0531,0.0513,0.10439999999999999,4.2592094649099215,0.10089659749241786,0.9924957807091118,0.29630379815073465,0.7476384641399441,1.8702408879850272,0.19784743604319738,0.17300111301737509,-0.5107155556335968
right_torque,S003,-0.042208,0.0439,0.086108,2.5275611723581606,0.09707010883742459,0.9920716127128503,0.31114148295794297,2.05047924056324,0.45296384530183326,-0.08232523797343579,-1.9177627530393637,0.9381742754726525
left_thigh_angle,S003,-17.5122,35.0684,52.5806,0.8443129873621941,0.9188473673653897,0.9807405094760151,0.2421562900174374,2.7114863146870465,-0.10495066814880107,2.235497451018214,0.23435298779814048,-0.9830651100128404
right_thigh_angle,S003,-19.2261,33.09212000000003,52.318220000000025,0.8443129873621941,0.9096441899595127,0.979830992492803,0.23011947415073816,2.936882948261699,-0.10495066814880107,1.0105276734279494,0.21923891982861365,-1.2395406457268856
deflection_left,S003,-8.5034,-6.7895,1.7138999999999989,0.8443129873621941,0.8835377824376037,0.9712317878412673,0.11429950063112589,0.05401892954488869,-0.5883840643230863,-0.10897268920416926,0.04282544426597103,-0.3230569120519525
deflection_right,S003,-2.2193000000000005,-0.5272999999999968,1.6920000000000037,0.8443129873621941,0.8863432184599143,0.9710849674246826,0.43879749857639466,0.054018929544896586,-0.5883840643230863,0.01835146271700273,0.041438928663991834,1.9502397235164641
asymmetry_hip_diff,S003,-49.021,50.910700000000006,99.9317,0.8443129873621941,0.9785373890079588,0.9814826195514051,0.22062934229327671,4.73962590683843,-0.10495066814880107,0.6552760710426246,0.2326708994759735,-1.2457669274939633
asymmetry_torque_diff,S003,-0.0696,0.0677,0.13729999999999998,2.5114278031728956,0.10191358474017559,0.9923441273308049,0.2859115029374253,1.5804050372735985,30.81251851707708,-0.2251505698067728,-0.302532467867969,-2.201927800389596
asymmetry_thigh_diff,S003,-49.043,50.932606,99.975606,0.8443129873621941,0.978543952449994,0.9814836772999685,0.2206526399021273,4.740180686182853,-0.10495066814880107,0.6510700565392974,0.2326507092090093,-1.2457210231446607
