archive,channels,config_path,distill_weight,exp_name,experiment_dir,gru_hidden,host_latency_ms,input_groups,input_lpf,kernel_size,lag_ms,model_type,n_input_channels,n_input_groups,n_params,output_vars,prior_loss_weight,residual_skip,season,seed,smoothness,target_transform,test_mae,test_r2,test_rmse,test_subject,window,y_delay
archive_round4,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round4/exp_B2_gru_64.yaml,,exp_B2_gru_64,exp_B2_gru_64_Test-m2_S008_seed42,64,2.4489,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,430753,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.029884764924645424,,0.05072164162993431,m2_S008,,5
archive_round6,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round6/exp_A2_com_replace_dot.yaml,,exp_A2_com_replace_dot,exp_A2_com_replace_dot_Test-m2_S008_seed42,32,2.4187,mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2|derived:1,,5,,TCN_GRU,29,9,408065,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.029947763308882713,,0.05420753359794617,m2_S008,,5
archive_round6,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round6/exp_C2_global_acc_xyz.yaml,,exp_C2_global_acc_xyz,exp_C2_global_acc_xyz_Test-m2_S008_seed42,32,2.4134,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2|robot/back_imu:3,,5,,TCN_GRU,37,10,409601,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.029982639476656914,,0.06268002092838287,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G089_imuint_full_w150_compact_glpf8.yaml,,exp_S3A1_G089_imuint_full_w150_compact_glpf8,exp_S3A1_G089_imuint_full_w150_compact_glpf8_Test-m2_S008_seed42,24,2.4208,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,8.0,5,,TCN_GRU,38,10,143729,common/v_Y_true,,False,archive_season3,42,,,0.030009593814611435,,0.0437818206846714,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G010_raw_full_w200_compact_none.yaml,,exp_S3A1_G010_raw_full_w200_compact_none,exp_S3A1_G010_raw_full_w200_compact_none_Test-m2_S008_seed42,24,2.4179,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,143153,common/v_Y_true,,False,archive_season3,42,,,0.03006722964346409,,0.04430099576711655,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_G140_fusionimu_lite_w150_base_glpf8.yaml,,exp_S3A1_G140_fusionimu_lite_w150_base_glpf8,exp_S3A1_G140_fusionimu_lite_w150_base_glpf8_Test-m2_S008_seed42,32,2.6368,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,8.0,5,,FusionTCN_GRU,28,6,407972,common/v_Y_true,,False,archive_season3,42,,,0.030233878642320633,,0.04373137652873993,m2_S008,,5
archive_round3,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round3/exp_G2_no_mocap_exo_angles.yaml,,exp_G2_no_mocap_exo_angles,exp_G2_no_mocap_exo_angles_Test-m2_S008_seed42,32,2.4203,robot/back_imu:4|robot/left:2|robot/right:2|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,18,6,405989,treadmill/left/speed_leftbelt,,False,archive_season1,42,,,0.030324000865221024,,0.06729882955551147,m2_S008,,5
archive_round6,"[32, 32, 64, 64, 128, 128]",configs/archive_season1/archive_round6/exp_E3_ensemble_3seeds.yaml,,exp_E3_ensemble_3seeds,exp_E3_ensemble_3seeds_Test-m2_S008_seed456,32,2.4407,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|robot/back_imu:4|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,34,9,409025,treadmill/left/speed_leftbelt,,False,archive_season1,456,,,0.030334580689668655,,0.05149675905704498,m2_S008,,5
archive_1,"[24, 24, 48, 48, 64, 64]",configs/archive_season3/archive_1/exp_S3A1_G101_imuint_lite_w200_compact_glpf8.yaml,,exp_S3A1_G101_imuint_lite_w200_compact_glpf8,exp_S3A1_G101_imuint_lite_w200_compact_glpf8_Test-m2_S008_seed42,24,2.4934,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|sub_info:2,8.0,5,,TCN_GRU,28,6,142289,common/v_Y_true,,False,archive_season3,42,,,0.030357632786035538,,0.04471195116639137,m2_S008,,5
archive_1,"[32, 32, 64, 64, 128, 128]",configs/archive_season3/archive_1/exp_S3A1_A2_bodyframe_imuint_vytrue.yaml,,exp_S3A1_A2_bodyframe_imuint_vytrue,exp_S3A1_A2_bodyframe_imuint_vytrue_Test-m2_S008_seed42,32,2.4293,mocap/kin_q:6|mocap/kin_q:6|mocap/kin_q:6|derived/body_frame_imu:7|derived/imu_integrated_speed:1|robot/left:1|robot/right:1|forceplate/grf/left:4|forceplate/grf/right:4|sub_info:2,,5,,TCN_GRU,38,10,409793,common/v_Y_true,,False,archive_season3,42,,,0.03038536012172699,,0.045102715492248535,m2_S008,,5
