Feature,Subject,Mean,Std
mocap/kin_q/hip_flexion_l_dot,m2_S006,0.019923297532236903,83.6789721050183
mocap/kin_q/hip_flexion_l_dot,m2_S007,-0.0007116071878678463,171.69339772237365
mocap/kin_q/hip_flexion_l_dot,m2_S008,0.007058993252597401,90.10831101708202
mocap/kin_q/hip_flexion_r,m2_S001,4.104048536806941,19.359238386895708
mocap/kin_q/hip_flexion_r,m2_S002,5.0411571984995245,17.573676173850657
mocap/kin_q/hip_flexion_r,m2_S003,1.839753635057785,19.765118224859865
mocap/kin_q/hip_flexion_r,m2_S004,10.796526825759168,17.619060376229804
mocap/kin_q/hip_flexion_r,m2_S005,7.037662172583968,20.39475266657873
mocap/kin_q/hip_flexion_r,m2_S006,-4.879847841734445,20.306704581470576
mocap/kin_q/hip_flexion_r,m2_S007,-2.2670631117242532,20.71419817565794
mocap/kin_q/hip_flexion_r,m2_S008,-1.2758691674645621,18.77808163678259
mocap/kin_q/hip_flexion_r_ddot,m2_S001,-0.0011643772769874606,953.0224549081374
mocap/kin_q/hip_flexion_r_ddot,m2_S002,0.022794192102208143,873.1595224775635
mocap/kin_q/hip_flexion_r_ddot,m2_S003,0.20921681867846217,1310.280182199802
mocap/kin_q/hip_flexion_r_ddot,m2_S004,-0.12367487681566137,1059.352140905884
mocap/kin_q/hip_flexion_r_ddot,m2_S005,0.010453335287824855,1198.461690394443
mocap/kin_q/hip_flexion_r_ddot,m2_S006,0.03524107047413394,1436.400421539606
mocap/kin_q/hip_flexion_r_ddot,m2_S007,0.018241165247315644,4979.871662273509
mocap/kin_q/hip_flexion_r_ddot,m2_S008,0.016271428934572358,999.9851363735168
mocap/kin_q/hip_flexion_r_dot,m2_S001,0.00022141187120701072,95.45015940216823
mocap/kin_q/hip_flexion_r_dot,m2_S002,0.03610502340027063,85.52626133644179
mocap/kin_q/hip_flexion_r_dot,m2_S003,-0.01090619885388698,102.42882267819665
mocap/kin_q/hip_flexion_r_dot,m2_S004,0.008703630656175382,95.29251094369334
mocap/kin_q/hip_flexion_r_dot,m2_S005,0.01359930710135326,110.20804642004762
mocap/kin_q/hip_flexion_r_dot,m2_S006,0.03864216959961959,93.79586478129178
mocap/kin_q/hip_flexion_r_dot,m2_S007,0.009920198851466003,130.82204257912397
mocap/kin_q/hip_flexion_r_dot,m2_S008,-0.0029084476776472926,88.89436674372914
mocap/kin_q/knee_angle_l,m2_S001,27.88086847192114,19.356606876358732
mocap/kin_q/knee_angle_l,m2_S002,31.86683971507493,16.91796574229936
mocap/kin_q/knee_angle_l,m2_S003,25.745742340244977,22.916559026705528
