time_s,pc_time_s,seq_id,module_id,tx_drops,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MotorAngle_L,MotorAngle_R,MotorTorque_L,MotorTorque_R
0.162000,0.179338,57363,16,0,0.023942,9.818622,0.083797,-1.129150,-0.030518,-0.305176,-25.400391,13.227539,-0.016479,0.010986
0.163000,0.179346,57364,16,0,0.011971,9.792285,0.038307,-1.373291,-0.091553,-0.335693,-25.400391,13.227539,-0.001831,-0.009155
0.164000,0.179354,57365,16,0,0.014365,9.811439,-0.107739,-1.281738,0.000000,-0.305176,-25.400391,13.227539,0.023804,-0.018311
0.165000,0.179362,57366,16,0,0.023942,9.787497,-0.040701,-1.220703,0.000000,-0.488281,-25.400391,13.227539,-0.009155,-0.010986
0.166000,0.179370,57367,16,0,0.028730,9.768343,0.045490,-1.312256,-0.091553,-0.549316,-25.400391,13.227539,-0.007324,-0.009155
0.167000,0.179378,57368,16,0,0.002394,9.792285,-0.014365,-1.312256,-0.061035,-0.335693,-25.400391,13.227539,-0.020142,-0.014648
0.168000,0.179386,57369,16,0,-0.033519,9.801862,-0.069432,-1.251221,-0.152588,-0.396729,-25.400391,13.227539,-0.012817,-0.020142
0.169000,0.179393,57370,16,0,-0.031125,9.809045,-0.031125,-1.220703,-0.030518,-0.335693,-25.400391,13.227539,-0.012817,0.010986
0.170000,0.179401,57371,16,0,-0.023942,9.792285,0.074220,-1.312256,-0.091553,-0.274658,-25.400391,13.227539,0.005493,-0.014648
0.171000,0.179409,57372,16,0,0.004788,9.768343,0.038307,-1.403809,-0.152588,-0.183105,-25.400391,13.227539,-0.005493,0.025635
0.172000,0.179417,57373,16,0,0.000000,9.734824,-0.067038,-1.342773,-0.122070,-0.183105,-25.400391,13.227539,0.009155,0.010986
0.173000,0.207715,57374,16,0,0.000000,9.787497,-0.026336,-1.434326,-0.152588,-0.274658,-25.400391,13.227539,-0.005493,-0.014648
0.174000,0.207749,57375,16,0,0.050278,9.856929,0.090980,-1.129150,-0.122070,-0.366211,-25.400391,13.227539,-0.005493,0.000000
0.175000,0.207765,57376,16,0,-0.009577,9.801862,0.102951,-1.159668,0.000000,-0.396729,-25.400391,13.227539,0.016479,-0.012817
0.176000,0.207774,57377,16,0,-0.081403,9.782708,-0.014365,-1.312256,-0.091553,-0.183105,-25.400391,13.227539,0.010986,0.010986
0.177000,0.207783,57378,16,0,0.000000,9.837775,-0.047884,-1.403809,-0.061035,-0.152588,-25.400391,13.227539,-0.003662,0.014648
0.178000,0.207792,57379,16,0,0.038307,9.825804,0.033519,-1.434326,0.000000,-0.366211,-25.400391,13.227539,0.005493,0.001831
0.179000,0.207800,57380,16,0,0.000000,9.763555,0.047884,-1.312256,-0.061035,-0.305176,-25.400391,13.227539,0.016479,-0.009155
0.180000,0.207808,57381,16,0,0.009577,9.797073,-0.014365,-1.190186,-0.152588,-0.305176,-25.400391,13.227539,-0.003662,0.000000
0.181000,0.207815,57382,16,0,0.040701,9.837775,-0.031125,-1.373291,-0.152588,-0.457764,-25.400391,13.227539,-0.016479,-0.016479
0.182000,0.207823,57383,16,0,0.026336,9.813833,-0.002394,-1.434326,-0.183105,-0.366211,-25.400391,13.227539,-0.014648,-0.001831
0.183000,0.207830,57384,16,0,0.009577,9.823410,0.021548,-1.373291,-0.091553,-0.366211,-25.400391,13.227539,0.012817,0.010986
0.184000,0.207837,57385,16,0,0.033519,9.792285,0.055067,-1.434326,0.000000,-0.274658,-25.400391,13.227539,-0.010986,0.003662
0.185000,0.207845,57386,16,0,-0.016759,9.739613,0.028730,-1.281738,-0.061035,-0.274658,-25.400391,13.227539,-0.012817,-0.003662
0.186000,0.207852,57387,16,0,-0.076614,9.749189,-0.069432,-1.281738,-0.030518,-0.152588,-25.400391,13.227539,0.010986,0.001831
